name	description	sourcemtoverride	samplemtoverride	body_habitat	body_product	body_site	elevation	env_biome	env_feature	env_matter	geo_loc_name	host_common_name	host_subject_id	latitude	longitude	psn	region	sample_type	sequencecenter	title
1928.SRS011367.SRX020660.SRR044857	Sample 1928.SRS011367.SRX020660.SRR044857			UBERON:oral cavity	UBERON:saliva	UBERON:palatine tonsil	97	urban biome	host-associated habitat		USA	human	700015653	38.98	-77.11	700015653	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011367.SRX020668.SRR045083	Sample 1928.SRS011367.SRX020668.SRR045083			UBERON:oral cavity	UBERON:saliva	UBERON:palatine tonsil	97	urban biome	host-associated habitat		USA	human	700015653	38.98	-77.11	700015653	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011369.SRX020660.SRR044880	Sample 1928.SRS011369.SRX020660.SRR044880			UBERON:oral cavity	UBERON:saliva	UBERON:throat	97	urban biome	host-associated habitat		USA	human	700015656	38.98	-77.11	700015656	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011369.SRX020668.SRR045110	Sample 1928.SRS011369.SRX020668.SRR045110			UBERON:oral cavity	UBERON:saliva	UBERON:throat	97	urban biome	host-associated habitat		USA	human	700015656	38.98	-77.11	700015656	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011371.SRX020666.SRR044950	Sample 1928.SRS011371.SRX020666.SRR044950			UBERON:oral cavity	UBERON:supragingival dental plaque	UBERON:tooth	97	urban biome	host-associated habitat		USA	human	700015659	38.98	-77.11	700015659	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011371.SRX020669.SRR047512	Sample 1928.SRS011371.SRX020669.SRR047512			UBERON:oral cavity	UBERON:supragingival dental plaque	UBERON:tooth	97	urban biome	host-associated habitat		USA	human	700015659	38.98	-77.11	700015659	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011373.SRX020666.SRR044979	Sample 1928.SRS011373.SRX020666.SRR044979			UBERON:oral cavity	UBERON:subgingival dental plaque	UBERON:tooth	97	urban biome	host-associated habitat		USA	human	700015662	38.98	-77.11	700015662	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011373.SRX020669.SRR045350	Sample 1928.SRS011373.SRX020669.SRR045350			UBERON:oral cavity	UBERON:subgingival dental plaque	UBERON:tooth	97	urban biome	host-associated habitat		USA	human	700015662	38.98	-77.11	700015662	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011375.SRX020515.SRR049321	Sample 1928.SRS011375.SRX020515.SRR049321			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	host-associated habitat		USA	human	700015665	38.98	-77.11	700015665	V3-V5	sebum	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011375.SRX020537.SRR045399	Sample 1928.SRS011375.SRX020537.SRR045399			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	host-associated habitat		USA	human	700015665	38.98	-77.11	700015665	V3-V5	sebum	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
